Beer,Rating
Bissell Brothers Here's To Feeling Good All The Time,3.4
Bissell Brothers Reciprocal,3.6
Bissell Brothers The Substance,4.08
Bitburger Pilsner,3.81
Bitburger/Sierra Nevada Triple Hop'd Lager,3.91
Black Narrows How Bout It,3.12
Blackberry Farm Classic Saison,3.88
Blank Brewing The One That Just Kicked,4.38
Blenderie Ommegang Super Kriek,3.76
Blue Moon Belgian Style Wheat,3.5
Blue Moon Short Straw,3.9
"Blue Point ""The IPA""",3.6
Blue Point Blueberry Ale,3.97
Blue Point Citrus Plunge,3.7
Blue Point Hazy Bastard,3.56
Blue Point Hazy Bastard: Variant #006,3.83
Blue Point Hoptical Illusion,3.66
Blue Point Mosaic Session IPA,3.68
Blue Point The Shore Thing,3.94
Blue Point Toasted Lager,3.6
Blue Point Una Fria,3.41
Bockor Cuvee des Jacobins Rouge,4.36
Bockor Kriek Des Jacobins,3.83
BON & VIV Lemon Lime,3.67
BON & VIV Spiked Seltzer Black Cherry Rosemary,3.7
Bon & Viv Spiked Seltzer Blends Variety Pack,3.64
BON & VIV Spiked Seltzer Cranberry,3.41
BON & VIV Spiked Seltzer Grapefruit ( 6 pk ),3.72
BON & VIV Spiked Seltzer Variety 12 Pack,3.91
Boon Oude Geuze,4.02
Boon Oude Geuze Mariage Parfait,4.29
Bosteels Pauwel Kwak,4.17
Boulevard 30th Anniversary Barrel Aged Blend,3.6
Boulevard Dark Truth Stout,3.53
Boulevard Rye on Rye,4.01
Boulevard Tank 7,4.19
Boulevard The Calling,3.53
Boulevard The Sixth Glass,3.36
Boulevard Unfiltered Wheat,4.28
Boulevard/Modern Times Restless Nights,3.9
Brasserie De Saint-Sylvestre 3 Monts,3.55
Brasserie Dupont Saison Dupont Saison,3.48
Braven Bushwick Pilsner,3.46
Braven IPA,3.51
Braven White IPA,3.85
Breckenridge Agave Wheat,4.41
Breckenridge Vanilla Porter,3.34
Breckenridge Vanilla Porter Nitro,3.47
Brekeriet Picnic Sunrise,3.79
BrewDog Elvis Juice,4.07
BrewDog Hazy Jane,3.59
BrewDog Jet Black Heart Nitro,3.37
BrewDog Punk IPA,3.96
Brix City Grateful Jams,3.43
Brix City Island Jams,4.19
Broken Bow Bearded Skull,4.07
Broken Bow Broken Auger Lager,3.72
Broken Bow IPA : Mosaic,3.38
Broken Bow Prime Now,4.41
Broken Bow Space Brut,3.66
Broken Bow The Barones “Baron Von Black”,3.33
"Broken Bow The Barones: ""El Ay Si”",4.14
Broken Bow The Barones: “Hellgate Original”,3.87
Broken Bow The Baroness “WhiteWash #5”,3.51
Bronx Brewery American Pale Ale,3.43
Bronx Brewery Boom Boom IPA,3.57
Bronx B-Side Series: Backyard Freestyle IPA,4.26
Bronx No Resolutions IPA,3.87
Bronx Now Youse Can't Leave,3.5
Bronx Pale Ale,3.68
Bronx Slow Your Roll,3.37
Bronx Summer Pale Ale,3.26
Bronx Well-Earned,3.7
Bronx World Gone Rosé,4
Brooklyn Bel Air Sour Ale,3.59
Brooklyn Black Chocolate Stout,3.68
Brooklyn Cider Kinda Dry,3.33
Brooklyn Defender 2019,3.46
Brooklyn East India Pale Ale,4
Brooklyn Lager,3.8
Brooklyn Local 1,3.9
Brooklyn Pilsner,4.02
Brooklyn Sorachi Ace,3.83
Brooklyn Summer Ale,3.57
Brouwerij Bosteels Tripel Karmaliet,4.01
Bruery Mash 2015,3.5
Bruery Sour In The Rye,3.42
Bruery Tart of Darkness,3.41
Bruery Terreux/Jester King Bouffon,3.4
Bruery White Chocolate,3.6
Bud Light,2.34
Bud Light Lime,3.55
Bud Light Lime Mang-O-Rita,3.51
Bud Light Pine Apple Rita Splash,3.54
Bud Light Platinum,3.64
Bud Light Seltzer Variety Pack,2.34
Budweiser,3.7
Bunker Machine,3.58
Burial Blade and Sheath,3.83
Burial Hawkbill,3.54
Burial Skillet Donut Stout,3.54
Burial Surf Wax,4.15
Burley Oak/Evil Twin Cherry Cola Float JREAM,3.86
Burlington Beer Elaborate Metaphor,3.96
Burlington Beer Orbital Elevator,4.4
Cambridge Remain In Light,4.2
Captain Lawrence 6th Borough,3.65
Captain Lawrence Citra Dreams,4.21
Captain Lawrence Freshchester,3.82
Captain Lawrence Hop Commander,3.9
Captain Lawrence Hops N' Roses,4
Captain Lawrence Liquid Gold,4
Carakale Red Sea-rious,3.53
Carakale/AZ Wilderness Dead Sea-rious,3.83
Carlow O'Hara's Irish Red,3.92
Carlsberg,3.54
Carton Monkey Chased The Weasel,3.45
Carton Nitro Light & Sweet,3.81
Carton of Milk Stout Nitro,4.29
Carton The Hook,4.38
Carton The Wit Whale,4
Cascade Apricot 2017,3.69
Cascade Brewing Bean To Barrel,3.22
Cascade/Bruery Terreux One Way or Another,3.41
Catskill Ball Lightning Pilsner,3.57
Catskill Brewing Cemetery Pool,3.54
Catskill Darbee's Irresistible Pale Ale,3.46
Catskill Devil's Path IPA,3.7
Catskill Pale Ale With Idaho 7,3.58
Central Waters Bourbon Barrel Cherry Stout,3.44
Central Waters Bourbon Barrel Stout,3.73
Central Waters Brewer's Reserve Bourbon Barrel Scotch Ale,3.58
Central Waters Brewer's Reserve Call Me Old Fashioned,3.52
Central Waters Mud Puppy Porter,3.97
Central Waters Satin Solitude Imperial Stout,3.8
Charles Towne Fermentory Ralf,3.55
Charles Towne Telstar Vii,3.69
Chimay Cinq Cents (White),3.37
Chimay Dorée,3.47
Chimay Grand Reserve,3.38
Chimay Peres Trappistes Ale Blue,3.78
Chimay Premiere (Red),3.39
Cider Creek Hard Cider,4.1
Ciderboys Grand Mimosa,3.78
Cidre de Normandie Ferme de Romilly Brut,3.9
Cigar City After Sesh,3.78
Cigar City Florida Cracker Belgian Wheat,3.72
Cigar City Invasion,4.26
Cigar City Jai Alai,3.73
Cigar City Maduro Brown Ale,3.87
Cigar City Wedge Cut,4.36
Cigar Florida Cracker White,4.41
Cisco Grey Lady,3.69
Cisco Whale's Tale,4.09
Citizen Cider bRose,3.29
Citizen Cider For Shore,3.59
Citizen Cider The AmeriCran,3.59
Citizen Cider The Dirty Mayor,3.4
Citizen The Lake Hopper,3.76
Citizen Tulsi Cider,3.42
Citizen Tulsi Cider w/ Basil,3.8
Citizen Unified Press,3.59
Citizen Wit's Up,3.43
Citizens Fruition,3.63
Civil Society Fresh,3.84
Civil Society Pulp,4.14
Clausthaler Premium Non-Alcoholic,4.22
Clown Shoes Zen Garden,4.13
Collective Arts Bourbon Barrel Aged Imperial Porter,3.94
Collective Arts Guava Gose,3.72
Collective Arts Jam Up The Mash,3.58
Collective Arts Life in the Clouds,3.42
Collective Arts Ransack The Universe,4.34
Collective Arts Stranger than Fiction Porter,4.09
Common Roots Snowy Night,3.98
Commonwealth Afterglow,3.4
Coney Island Beach Beer,3.89
Coney Island Hard Root Beer,4.4
Coney Island Mermaid Pilsner,3.46
Coney Island Merman IPA,4.09
Confliction,3.91
Cooper's Pale,3.36
Coors Light,1.99
Corona,3.54
Corona Extra,3.5
Corona Light,3.07
Corsendonk Agnus Tripel,4.06
Corsendonk Pater Dubbel,4
Crabbie's Alcoholic Ginger Beer,3.95
Crabbie's Alcoholic Raspberry Ginger Beer,3.34
Crabbies Spiced Orange Ginger,3.48
Crispin Original,2.81
Crooked Crab Chuck-Brown,3.76
Crooked Crab Furious George,3.12
Crooked Crab Haze for Days,3.67
Crooked Crab Nitro Stache,3.25
Crooked Stave Blueberry Origins,3.59
Crooked Stave Nightmare on Brett Sour Cherry,3.53
Crooked Stave Petite Sour Peach,3.56
Crooked Stave Petite Sour Rosé,4.01
Crooked Stave Salvador Cybies,3.9
Crooked Stave Sour Rosé,3.68
Dark Horse Toonilla,3.73
Datura Damm Barcelona,4.02
Dc Brau A Touch Of Grey,3.59
DC Brau Brau Pils,3.35
"DC Brau Full Transparency Hard Seltzer Passionfruit, Orange, and Guava",3.24
DC Brau Joint Resolution,3.39
DC Brau On The Wings Of Armageddon,3.13
DC Brau Pils,3.15
DC Brau The Public,4.43
De Dolle Stille Nacht,3.81
De Troch Winter Gueuze,3.77
Deciduous Flash,3.54
Deciduous Great Wide Open,3.41
Deciduous Playing In The Shadows 7.0,3.86
Deciduous Research 16.0,3.45
Delirium Noel 2018,4.09
Delirium Tremens,3.59
Departed Soles GoodbIPA: Four My Homie,3.43
Departed Soles Hudson Pride,3.84
DESTIHL Dosvidanya Bourbon Barrel (2018),3.59
DESTIHL Wild Sour Series: Piña Colada Gose,3.94
Devils Backbone Capit Ale,3.55
Devils Backbone Vienna Lager,3.17
Diamondback Zlaty,4.32
Dieu du Ciel Grande Noirceur,3.93
District 96 Photo Op,3.51
Doc’s Draft Hard Apple Cider,4.15
Dogfish Head 120 Minute IPA,3.9
Dogfish Head 60 Minute,3.6
Dogfish Head 90 Minute,3.54
Dogfish Head Burton Baton,3.46
Dogfish Head Festina Peche 2018,3.92
Dogfish Head Midas Touch,3.36
Dogfish Head Namaste,3.65
Dogfish Head SeaQuench Ale,3.86
Downeast Aloha Cider,4.09
Downeast Cider Original,3.28
Downeast Orignal Blend,3.34
Downeast Winter Blend,4.25
Duchesse de Bourgogne,4.03
Duclaw Pineapple Queen,3.6
Duclaw Sweet Baby Jesus!,3.47
Dugges Cola,3.86
Dutchess Ales Mizmaze Ale,4.01
Duvel,3.73
Eastern Shore St. Michaels Ale,4.14
Edmund's Oast Cereal for Dinner,3.21
Edmunds Oast Pales In Comparison,3.57
Edmund's Oast Sour Mango Strawberry,3.5
Einst�k Icelandic Toasted Porter,4.2
Elder Pine Pilsner,3.66
Elysian Space Dust,4.41
Equilibrium C,3.91
Equilibrium Mmm... Osa,4.03
Equilibrium Riwakaroo,4.2
Equilibrium Vulgar Display of Flower,4.14
Erdinger Non Alcoholic,2.99
Espresso Oak Aged Yeti Imperial Stout,3.72
Evil Twin Bozo Beer,4.26
Evil Twin Don No,4.01
Evil Twin Even More Coco Jesus,4.23
Evil Twin Even More Jesus,4.4
Evil Twin Even More Pecan Pie Jesus,4.16
Evil Twin Falco,4.35
Evil Twin Fire Water,3.71
Evil Twin Grand Cru,3.58
EVIL TWIN GRAND CRU CUVEE,4.06
Evil Twin Imperial Biscotti Break,4.28
Evil Twin Imperial Doughnut Break,3.37
Evil Twin Imperial Wedding Cake Break,3.84
Evil Twin Irish-ish Coffee Stout,4.08
Evil Twin Molotov Cocktail,4.2
Evil Twin No Hero,3.58
Evil Twin Nyc Chocolate Hazelnut Marshmallow Spread,4.2
Evil Twin Some People Are Immune To Good Banana Stout,3.65
Evil Twin The Porthole,3.94
Fair W Inds Apricot/Mango/Key Lime Tart Ale,3.62
Fair Winds Ironmaster IPA,4.18
Fair Winds Pohick Bay Pilsner,3.45
Fiddlehead IPA,4.07
Fiddlehead Second Fiddle,3.8
Fifth Hammer Bridging The Gap,3.97
Fifth Hammer Foederbrau,3.29
Fifth Hammer Functional Modern,3.75
Fifth Hammer Palate Pigment: Blackberry Lime,3.64
"Fifth Hammer Sonic Architecture, Wave 6",3.68
Fifth Hammer Sourvision: Peach & Berry,3.58
Fifth Hammer Time Slipper,3.76
Finback Among The Bandits,4.1
Finback Bird God,4.44
Finback Brewery Breach The Surface,4.4
Finback Cat Hand,3.57
Finback Days Uncounted,3.56
Finback Dimensional Transort,3.36
Finback Double Sess Witbier,3.68
Finback Double Someething Sabro,3.93
Finback Double Something Sabro,4
Finback Go Beyond,4.2
Finback Good Night Dark Sky,4
Finback IPA,4.3
Finback Meridian IPA,4.03
Finback Micro Plastics,3.33
Finback Oscillation,4.2
Finback Perpetual,3.69
Finback Rolling In Clouds,4.1
Finback Social Fabric,4.1
Finback Social Fabric Can,4.3
Finback Ultimate Beats,3.97
Finch's Fascist Pig Ale,3.8
Firestone Walker Cocoanut Parabola,4.17
Firestone Walker DBA,3.7
Firestone Walker Easy Jack,3.92
Five Boroughs Gridlock Hazy IPA,4
Five Boroughs Hoppy Lager,3.37
Five Boroughs Tiny Juicy IPA,3.9
Flora Rosé Wine Spritzer,3.72
Flying Dog Double Dog Double IPA,3.48
Flying Dog Gonzo Imperial Porter,4.06
Flying Dog Horn Dog Barley Wine,3.84
Flying Dog Numero Uno,4.3
Flying Dog Raging Bitch Belgian Style IPA,3.8
Flying Monkeys The Chocolate Manifesto,3.75
Foam Together Or Alone,3.71
Foley Brothers Pieces of Eight,4.08
Folksbier Old Bavarian Lager,3.9
Folksbier Pilsner,3.77
Folksbier Recurring Dreams #36,3.47
Fonta Flora Darwin's Forehead,3.44
Forst Premium,3.85
Founders All Day IPA,3.64
Founders Backwoods Bastard,3.63
Founders Backwoods Bastard 2017,3.46
Founders Breakfast Stout,3.89
Founders CBS 2019,3.68
Founders Devil Dancer,3.94
Founders Dirty Bastard,3.8
Founders KBS (2019),4.32
Founders Kentucky Breakfast Stout 2020,3.9
Founders Porter,3.56
Founders Red's Rye IPA,3.7
Founders Rubaeus,3.54
Founders Solid Gold,3.63
Freigeist Abraxxxas,3.58
Frost Double Shush,3.85
Fuller's ESB,3.61
Fuller's London Pride,3.59
Gaffel Kolsch,3.66
Garvies Point Glen Clover,4.14
Gay Beer Golden Lager,4.1
Genesee Cream Ale,3.58
Genesee Lager,3.47
Gigantic IPA,3.55
Gisberga Trigo,4.07
Glutenberg Blonde,3.08
Glutenberg India Pale Ale,3.54
Go To IPA,3.7
Golden Coast Mead Speakeasy,3.35
Golden Coast Savage Bois,3.77
Goose Island Bourbon County Brand Wheatwine 2019,3.85
Goose Island Bourbon County Cafe De Olla Stout 2019,3.51
Goose Island Matilda,3.79
Goose Island Next Coast IPA,4.01
Gouden Carolus Classic,4.29
Gouden Carolus Grand Cru,3.88
Graft Birds Of Paradise,3.9
Great Divide Whitewater Wheat Ale,3.7
Great South Bay Blood Orange Pale Ale,3.43
Green Flash Imperial IPA,3.75
Greenpoint Beer & Ale Constant Reassurance,3.82
Greenpoint Descending Squares,3.57
Greenpoint Please Stand By,3.46
Greenpoint Turbulence,3.61
Green's Discovery Amber,4.19
Green's Enterprise,3.22
Grimm Boysen Rebus,3.92
Grimm Butterfly Door,4.24
Grimm Castling,4.11
Grimm Color Field,4.03
Grimm Evening Sunrise,4.06
Grimm Fluffy Tufts,4.34
Grimm I Still Love The Old World,4.34
Grimm Lambo Door,4.38
Grimm Magnetic Cloud,4.32
Grimm Maximum Delight,4.38
Grimm Maximum Happiness,4.2
Grimm Maypole,3.71
Grimm Mimsy,3.81
Grimm Moon Dreams,4.39
Grimm Phantom Power,3.97
Grimm Piña Pop!,3.93
Grimm Prose Poem,4.38
Grimm Psychic Life Coach,4.3
Grimm Rainbow Dome,4.24
Grimm Reverbaration (sic),3.86
